Entity,Code,Year,Electricity from solar (TWh)
Spain,ESP,1965,0
Spain,ESP,1966,0
Spain,ESP,1967,0
Spain,ESP,1968,0
Spain,ESP,1969,0
Spain,ESP,1970,0
Spain,ESP,1971,0
Spain,ESP,1972,0
Spain,ESP,1973,0
Spain,ESP,1974,0
Spain,ESP,1975,0
Spain,ESP,1976,0
Spain,ESP,1977,0
Spain,ESP,1978,0
Spain,ESP,1979,0
Spain,ESP,1980,0
Spain,ESP,1981,0
Spain,ESP,1982,0
Spain,ESP,1983,0
Spain,ESP,1984,0
Spain,ESP,1985,0
Spain,ESP,1986,0
Spain,ESP,1987,0
Spain,ESP,1988,0
Spain,ESP,1989,0.006060606
Spain,ESP,1990,0.01
Spain,ESP,1991,0.01
Spain,ESP,1992,0.01
Spain,ESP,1993,0.01
Spain,ESP,1994,0.01
Spain,ESP,1995,0.02
Spain,ESP,1996,0.02
Spain,ESP,1997,0.02
Spain,ESP,1998,0.02
Spain,ESP,1999,0.03
Spain,ESP,2000,0.01
Spain,ESP,2001,0.02
Spain,ESP,2002,0.02
Spain,ESP,2003,0.02
Spain,ESP,2004,0.02
Spain,ESP,2005,0.05
Spain,ESP,2006,0.12
Spain,ESP,2007,0.52
Spain,ESP,2008,2.58
Spain,ESP,2009,6.06
Spain,ESP,2010,7.19
Spain,ESP,2011,9.4
Spain,ESP,2012,11.97
Spain,ESP,2013,13.1
Spain,ESP,2014,13.67
Spain,ESP,2015,13.86
Spain,ESP,2016,13.64
Spain,ESP,2017,14.4
Spain,ESP,2018,12.74
Spain,ESP,2019,15.1
Spain,ESP,2020,20.67
Spain,ESP,2021,27.1
Spain,ESP,2022,32.77
